,max_balance_drowdown,max_drawdown,returns_std,total_return,sharpe,downside_deviation,sortino,calmar_ratio,en_inU,en_outU,en_outD,en_inD,re_inU,re_outU,re_outD,re_inD,cc_inU,cc_outU,cc_outD,cc_inD,trades,positive_trades,positive_trading_days
0,0.62,3.84,0.425,-0.618,-0.133,0.126,-491.356,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,24,45.833,2.5
1,1.161,6.749,0.649,-1.028,-0.145,0.148,-696.314,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,23,39.13,1.667
2,0.472,3.47,0.399,-0.472,-0.108,0.054,-875.64,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,21,42.857,1.667
3,0.859,12.036,0.962,-0.84,-0.08,0.136,-615.753,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,27,40.741,3.333
4,0.655,3.84,0.42,-0.655,-0.142,0.113,-577.638,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,21,42.857,0.833
5,0.796,3.84,0.46,-0.796,-0.158,0.1,-795.189,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,21,38.095,0.833
6,0.815,10.588,0.866,-0.808,-0.085,0.318,-253.833,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,21,42.857,3.333
7,0.576,3.929,0.447,-0.576,-0.118,0.062,-931.18,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,19,36.842,2.5
8,0.498,3.929,0.424,-0.498,-0.107,0.066,-759.423,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,19,42.105,2.5
9,0.833,10.588,0.864,-0.833,-0.088,0.293,-284.255,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,19,42.105,2.5
10,0.815,10.588,0.866,-0.81,-0.085,0.318,-254.59,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.91,22,45.455,4.167
11,0.54,4.686,0.569,-0.396,-0.064,0.062,-639.701,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.91,20,40,3.333
12,0.5,3.929,0.424,-0.5,-0.108,0.066,-763.102,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.91,20,45,3.333
13,0.836,10.588,0.864,-0.836,-0.088,0.293,-285.078,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.91,20,45,3.333
14,0.821,12.269,1.168,-0.11,-0.009,0.107,-102.972,,1.09,1.03,0.91,0.85,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.97,25,44,5.833
15,0.991,7.609,0.689,-0.949,-0.126,0.155,-610.344,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.09,1.03,0.91,0.85,23,43.478,2.5
16,1.482,10.707,1.037,-1.359,-0.12,0.28,-485.142,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.09,0.97,0.91,0.85,22,36.364,0.833
17,0.846,7.686,0.66,-0.803,-0.111,0.138,-580.865,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.09,0.91,0.85,20,40,2.5
18,1.19,17.197,1.258,-1.171,-0.085,0.255,-458.431,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.03,0.97,0.91,0.85,26,38.462,2.5
19,1.028,7.609,0.698,-0.986,-0.129,0.153,-642.945,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.03,0.91,0.85,20,40,1.667
20,1.17,5.16,0.647,-1.127,-0.159,0.148,-760.201,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,0.97,0.91,0.85,20,35,0
21,1.181,10.588,1.017,-1.139,-0.102,0.264,-431.267,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.09,1.03,0.97,0.85,20,40,3.333
22,0.95,7.427,0.691,-0.907,-0.12,0.133,-682.114,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.09,1.03,0.85,18,33.333,3.333
23,0.871,7.427,0.675,-0.829,-0.112,0.14,-592.854,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.09,0.97,0.85,18,38.889,3.333
24,1.207,10.588,1.024,-1.164,-0.104,0.258,-451.802,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.03,0.97,0.85,18,38.889,3.333
25,1.184,10.588,1.018,-1.141,-0.102,0.264,-432.18,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.09,1.03,0.97,0.91,21,42.857,4.167
26,0.77,8.968,0.778,-0.727,-0.085,0.133,-546.49,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.09,1.03,0.91,19,36.842,4.167
