,max_balance_drowdown,max_drawdown,returns_std,total_return,sharpe,downside_deviation,sortino,calmar_ratio,en_inU,en_outU,en_outD,en_inD,re_inU,re_outU,re_outD,re_inD,cc_inU,cc_outU,cc_outD,cc_inD,trades,positive_trades,positive_trading_days
27,0.874,7.427,0.675,-0.831,-0.112,0.14,-594.579,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.09,0.97,0.91,19,42.105,4.167
28,1.209,10.588,1.024,-1.167,-0.104,0.258,-452.737,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.03,0.97,0.91,19,42.105,4.167
29,0.868,13.687,1.285,-0.444,-0.032,0.137,-324.238,,1.09,1.03,0.91,0.85,1.09,0.97,0.91,0.85,1.15,1.09,1.03,0.97,24,41.667,6.667
30,0.561,2.908,0.379,-0.527,-0.127,0.067,-784.03,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.09,1.03,0.91,0.85,21,42.857,1.667
31,1.07,6.749,0.602,-0.937,-0.142,0.131,-714.744,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.09,0.97,0.91,0.85,20,35,1.667
32,0.381,4.84,0.525,-0.381,-0.066,0.093,-408.831,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.09,0.91,0.85,18,38.889,1.667
33,0.772,12.036,0.93,-0.753,-0.074,0.125,-601.836,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.03,0.97,0.91,0.85,24,37.5,3.333
34,0.564,4.009,0.394,-0.564,-0.131,0.067,-839.303,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.03,0.91,0.85,18,38.889,0.833
35,0.705,3.134,0.391,-0.705,-0.165,0.07,-1000.53,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,0.97,0.91,0.85,18,33.333,0.833
36,0.756,12.04,0.921,-0.717,-0.071,0.261,-274.453,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.09,1.03,0.97,0.85,18,38.889,2.5
37,0.485,5.382,0.563,-0.485,-0.079,0.095,-513.005,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.09,1.03,0.85,16,31.25,2.5
38,0.406,5.382,0.545,-0.406,-0.068,0.102,-399.813,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.09,0.97,0.85,16,37.5,2.5
39,0.742,12.04,0.927,-0.742,-0.073,0.257,-288.848,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.03,0.97,0.85,16,37.5,2.5
40,0.756,12.04,0.921,-0.719,-0.071,0.261,-275.376,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.09,1.03,0.97,0.91,19,42.105,3.333
41,0.481,5.382,0.664,-0.305,-0.042,0.095,-322.277,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.09,1.03,0.91,17,35.294,3.333
42,0.409,5.382,0.545,-0.409,-0.068,0.102,-402.184,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.09,0.97,0.91,17,41.176,3.333
43,0.745,12.04,0.927,-0.745,-0.073,0.257,-289.786,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.03,0.97,0.91,17,41.176,3.333
44,0.724,12.269,1.226,-0.023,-0.002,0.129,-17.535,,1.09,1.03,0.91,0.85,1.15,1.09,0.91,0.85,1.15,1.09,1.03,0.97,22,40.909,5.833
45,1.64,11.078,1.102,-1.64,-0.136,0.237,-690.882,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.09,1.03,0.91,0.85,27,40.741,3.333
46,2.051,10.707,1.342,-2.051,-0.14,0.301,-680.187,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.09,0.97,0.91,0.85,26,34.615,1.667
47,1.495,11.154,1.087,-1.495,-0.126,0.228,-656.552,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.09,0.91,0.85,24,37.5,3.333
48,1.862,12.139,1.237,-1.862,-0.137,0.274,-680.417,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.03,0.97,0.91,0.85,30,36.667,1.667
49,1.677,11.078,1.107,-1.677,-0.138,0.233,-719.811,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.03,0.91,0.85,24,37.5,2.5
50,1.819,8.789,1.073,-1.819,-0.155,0.227,-801.874,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,0.97,0.91,0.85,24,33.333,0.833
51,1.83,10.819,1.33,-1.83,-0.126,0.288,-635.841,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.09,1.03,0.97,0.85,24,37.5,4.167
52,1.599,10.895,1.104,-1.599,-0.132,0.22,-725.606,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.09,1.03,0.85,22,31.818,4.167
53,1.52,10.895,1.095,-1.52,-0.127,0.229,-665.013,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.09,0.97,0.85,22,36.364,4.167
54,1.856,10.819,1.334,-1.856,-0.127,0.283,-656.467,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.03,0.97,0.85,22,36.364,4.167
55,1.833,10.819,1.33,-1.833,-0.126,0.288,-636.678,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.09,1.03,0.97,0.91,25,40,5
56,1.418,12.437,1.163,-1.418,-0.111,0.22,-643.726,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.09,1.03,0.91,23,34.783,5
57,1.522,10.895,1.095,-1.522,-0.127,0.229,-666.068,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.09,0.97,0.91,23,39.13,5
58,1.858,10.819,1.335,-1.858,-0.127,0.283,-657.319,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.03,0.97,0.91,23,39.13,5
59,1.183,14.232,1.551,-1.152,-0.068,0.207,-556.47,,1.09,1.03,0.91,0.85,1.03,0.97,0.91,0.85,1.15,1.09,1.03,0.97,28,39.286,7.5
60,0.582,3.84,0.42,-0.582,-0.126,0.118,-492.199,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.09,1.03,0.91,0.85,21,42.857,1.667
61,1.125,6.749,0.657,-0.992,-0.138,0.146,-680.516,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.09,0.97,0.91,0.85,20,35,1.667
62,0.437,4.085,0.413,-0.437,-0.096,0.055,-790.127,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.09,0.91,0.85,18,38.889,1.667
63,0.827,12.036,0.967,-0.808,-0.076,0.135,-600.225,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.03,0.97,0.91,0.85,24,37.5,3.333
64,0.619,3.84,0.433,-0.619,-0.13,0.112,-553.134,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.03,0.91,0.85,18,38.889,0.833
65,0.761,3.84,0.472,-0.761,-0.147,0.099,-770.499,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,0.97,0.91,0.85,18,33.333,0.833
66,0.772,10.588,0.864,-0.772,-0.082,0.295,-261.505,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.09,1.03,0.97,0.85,18,38.889,2.5
67,0.541,3.929,0.46,-0.541,-0.107,0.059,-913.424,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.09,1.03,0.85,16,31.25,2.5
68,0.462,3.929,0.438,-0.462,-0.096,0.063,-734.23,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.09,0.97,0.85,16,37.5,2.5
69,0.798,10.588,0.87,-0.798,-0.084,0.288,-277.018,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.03,0.97,0.85,16,37.5,2.5
70,0.774,10.588,0.864,-0.774,-0.082,0.295,-262.322,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.09,1.03,0.97,0.91,19,42.105,3.333
71,0.494,5.368,0.58,-0.36,-0.057,0.059,-608.591,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.09,1.03,0.91,17,35.294,3.333
72,0.464,3.929,0.438,-0.464,-0.097,0.063,-738.063,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.09,0.97,0.91,17,41.176,3.333
73,0.8,10.588,0.87,-0.8,-0.084,0.288,-277.855,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.03,0.97,0.91,17,41.176,3.333
74,0.776,12.269,1.174,-0.075,-0.006,0.103,-72.547,,1.09,1.03,0.91,0.85,1.15,1.03,0.91,0.85,1.15,1.09,1.03,0.97,22,40.909,5.833
75,0.66,4.658,0.507,-0.66,-0.119,0.11,-599.44,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.09,1.03,0.91,0.85,21,42.857,2.5
76,1.203,5.41,0.644,-1.07,-0.152,0.15,-713.606,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.09,0.97,0.91,0.85,20,35,0.833
77,0.515,4.735,0.466,-0.515,-0.101,0.075,-683.744,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.09,0.91,0.85,18,38.889,2.5
78,0.901,12.036,0.959,-0.882,-0.084,0.14,-630.858,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.03,0.97,0.91,0.85,24,37.5,2.5
79,0.697,4.658,0.521,-0.697,-0.122,0.109,-641.962,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.03,0.91,0.85,18,38.889,1.667
80,0.839,3.84,0.454,-0.839,-0.169,0.104,-808.145,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,0.97,0.91,0.85,18,33.333,0
81,0.85,10.588,0.906,-0.85,-0.086,0.266,-319.178,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.09,1.03,0.97,0.85,18,38.889,3.333
82,0.619,4.476,0.511,-0.619,-0.111,0.078,-797.086,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.09,1.03,0.85,16,31.25,3.333
83,0.54,4.476,0.488,-0.54,-0.101,0.08,-673.747,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.09,0.97,0.85,16,37.5,3.333
84,0.876,10.588,0.914,-0.876,-0.087,0.261,-336.223,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.03,0.97,0.85,16,37.5,3.333
85,0.852,10.588,0.907,-0.852,-0.086,0.266,-320.083,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.09,1.03,0.97,0.91,19,42.105,4.167
86,0.531,5.368,0.621,-0.438,-0.064,0.078,-564.693,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.09,1.03,0.91,17,35.294,4.167
87,0.542,4.476,0.488,-0.542,-0.101,0.08,-676.755,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.09,0.97,0.91,17,41.176,4.167
88,0.878,10.588,0.915,-0.878,-0.088,0.261,-337.149,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.03,0.97,0.91,17,41.176,4.167
89,0.854,12.269,1.195,-0.153,-0.012,0.108,-141.185,,1.09,1.03,0.91,0.85,1.15,0.97,0.91,0.85,1.15,1.09,1.03,0.97,22,40.909,6.667
90,0.691,2.703,0.368,-0.675,-0.168,0.08,-842.494,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.09,1.03,0.91,0.85,21,42.857,2.5
91,1.218,6.749,0.658,-1.086,-0.151,0.126,-861.961,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.09,0.97,0.91,0.85,20,35,1.667
92,0.53,5.748,0.56,-0.53,-0.086,0.077,-688.105,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.09,0.91,0.85,18,38.889,1.667
93,0.916,12.036,0.968,-0.897,-0.085,0.118,-758.371,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.03,0.97,0.91,0.85,24,37.5,3.333
94,0.712,2.468,0.362,-0.712,-0.179,0.078,-916.693,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.03,0.91,0.85,18,38.889,0.833
95,0.854,2.468,0.475,-0.854,-0.164,0.077,-1104.527,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,0.97,0.91,0.85,18,33.333,0.833
96,0.896,14.509,1.104,-0.865,-0.072,0.388,-223.199,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.09,1.03,0.97,0.85,18,38.889,2.5
97,0.634,5.748,0.6,-0.634,-0.096,0.072,-875.692,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.09,1.03,0.85,16,31.25,2.5
98,0.555,5.748,0.584,-0.555,-0.087,0.078,-715.951,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.09,0.97,0.85,16,37.5,2.5
99,0.891,14.509,1.102,-0.891,-0.074,0.36,-247.369,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.03,0.97,0.85,16,37.5,1.667
100,0.896,14.509,1.104,-0.868,-0.072,0.388,-223.821,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.09,1.03,0.97,0.91,19,42.105,3.333
101,0.621,5.748,0.697,-0.454,-0.059,0.072,-626.467,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.09,1.03,0.91,17,35.294,3.333
102,0.558,5.748,0.584,-0.558,-0.087,0.078,-719.06,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.09,0.97,0.91,17,41.176,3.333
103,0.893,14.509,1.102,-0.893,-0.074,0.36,-248.038,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.03,0.97,0.91,17,41.176,2.5
104,0.879,12.269,1.236,-0.168,-0.012,0.099,-169.497,,1.09,1.03,0.91,0.85,1.09,1.03,0.97,0.85,1.15,1.09,1.03,0.97,22,40.909,5.833
105,0.614,2.908,0.416,-0.566,-0.124,0.06,-940.707,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.09,1.03,0.91,0.85,19,42.105,2.5
106,1.109,6.749,0.629,-0.976,-0.142,0.126,-776.021,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.09,0.97,0.91,0.85,18,33.333,2.5
107,0.425,4.84,0.499,-0.421,-0.077,0.097,-434.251,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.09,0.91,0.85,16,37.5,2.5
108,0.812,12.036,0.949,-0.793,-0.076,0.12,-662.539,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.03,0.97,0.91,0.85,22,36.364,4.167
109,0.605,4.009,0.433,-0.603,-0.127,0.065,-932.205,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.03,0.91,0.85,16,37.5,1.667
110,0.745,3.134,0.433,-0.745,-0.157,0.071,-1049.649,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,0.97,0.91,0.85,16,31.25,1.667
111,0.819,12.04,0.94,-0.756,-0.073,0.251,-301.431,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.09,1.03,0.97,0.85,16,37.5,3.333
112,0.544,5.591,0.548,-0.525,-0.087,0.1,-523.047,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.09,1.03,0.85,14,28.571,2.5
113,0.465,5.591,0.532,-0.446,-0.077,0.105,-423.78,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.09,0.97,0.85,14,35.714,3.333
114,0.799,12.04,0.948,-0.782,-0.075,0.246,-317.271,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.03,0.97,0.85,14,35.714,3.333
115,0.819,12.04,0.94,-0.759,-0.074,0.251,-302.392,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.09,1.03,0.97,0.91,17,41.176,4.167
116,0.544,5.591,0.652,-0.344,-0.048,0.1,-343.247,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.09,1.03,0.91,15,33.333,3.333
117,0.465,5.591,0.532,-0.448,-0.077,0.105,-426.07,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.09,0.97,0.91,15,40,4.167
118,0.799,12.04,0.948,-0.784,-0.076,0.246,-318.249,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.03,0.97,0.91,15,40,4.167
119,0.76,12.269,1.24,-0.059,-0.004,0.125,-47.122,,1.09,1.03,0.91,0.85,1.15,1.09,1.03,0.85,1.15,1.09,1.03,0.97,20,40,5
120,0.6,2.908,0.404,-0.552,-0.125,0.06,-915.78,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.09,1.03,0.91,0.85,19,42.105,1.667
121,1.095,6.749,0.616,-0.963,-0.143,0.125,-771.668,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.09,0.97,0.91,0.85,18,33.333,1.667
122,0.411,4.84,0.485,-0.407,-0.077,0.094,-433.527,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.09,0.91,0.85,16,37.5,1.667
123,0.798,12.036,0.94,-0.779,-0.076,0.119,-655.038,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.03,0.97,0.91,0.85,22,36.364,3.333
124,0.591,4.009,0.417,-0.589,-0.129,0.061,-960.329,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.03,0.91,0.85,16,37.5,0.833
125,0.731,3.134,0.414,-0.731,-0.161,0.066,-1102.058,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,0.97,0.91,0.85,16,31.25,0.833
126,0.805,12.04,0.934,-0.742,-0.073,0.253,-293.169,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.09,1.03,0.97,0.85,16,37.5,2.5
127,0.53,5.591,0.538,-0.511,-0.087,0.097,-528.058,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.09,1.03,0.85,14,28.571,2.5
128,0.451,5.591,0.519,-0.432,-0.076,0.104,-415.108,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.09,0.97,0.85,14,35.714,2.5
129,0.785,12.04,0.94,-0.768,-0.075,0.248,-309.513,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.03,0.97,0.85,14,35.714,2.5
130,0.805,12.04,0.934,-0.745,-0.073,0.253,-294.121,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.09,1.03,0.97,0.91,17,41.176,3.333
131,0.53,5.591,0.643,-0.331,-0.047,0.097,-341.619,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.09,1.03,0.91,15,33.333,3.333
132,0.451,5.591,0.519,-0.435,-0.076,0.104,-417.423,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.09,0.97,0.91,15,40,3.333
133,0.785,12.04,0.941,-0.77,-0.075,0.248,-310.484,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.03,0.97,0.91,15,40,3.333
134,0.75,12.269,1.235,-0.048,-0.004,0.124,-39.021,,1.09,1.03,0.91,0.85,1.15,1.09,0.97,0.85,1.15,1.09,1.03,0.97,20,40,5
135,0.662,2.703,0.363,-0.656,-0.165,0.079,-825.945,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.09,1.03,0.91,0.85,19,42.105,1.667
136,1.199,6.749,0.666,-1.067,-0.146,0.124,-861.928,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.09,0.97,0.91,0.85,18,33.333,1.667
137,0.511,5.748,0.57,-0.511,-0.082,0.077,-664.016,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.09,0.91,0.85,16,37.5,1.667
138,0.897,12.036,0.974,-0.878,-0.082,0.116,-754.993,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.03,0.97,0.91,0.85,22,36.364,3.333
139,0.693,2.468,0.377,-0.693,-0.168,0.078,-884.664,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.03,0.91,0.85,16,37.5,0.833
140,0.835,3.134,0.486,-0.835,-0.157,0.077,-1087.617,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,0.97,0.91,0.85,16,31.25,0.833
141,0.867,14.509,1.102,-0.846,-0.07,0.363,-233.241,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.09,1.03,0.97,0.85,16,37.5,1.667
142,0.615,5.748,0.61,-0.615,-0.092,0.07,-875.914,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.09,1.03,0.85,14,28.571,2.5
143,0.536,5.748,0.593,-0.536,-0.083,0.075,-715.075,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.09,0.97,0.85,14,35.714,2.5
144,0.872,14.509,1.107,-0.872,-0.072,0.358,-243.76,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.03,0.97,0.85,14,35.714,1.667
145,0.867,14.509,1.102,-0.849,-0.07,0.363,-233.906,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.09,1.03,0.97,0.91,17,41.176,2.5
146,0.592,5.748,0.705,-0.435,-0.056,0.07,-618.919,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.09,1.03,0.91,15,33.333,3.333
147,0.539,5.748,0.593,-0.539,-0.083,0.075,-718.29,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.09,0.97,0.91,15,40,3.333
148,0.874,14.509,1.107,-0.874,-0.072,0.358,-244.434,,1.09,1.03,0.91,0.85,1.15,1.03,0.97,0.85,1.15,1.03,0.97,0.91,15,40,2.5
